Destination_Port,Flow_Duration,Total_Fwd_Packets,Total_Backward_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_Bytes_Sec,Flow_Packets_Sec,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Length,Bwd_Header_Length,Fwd_Packets_Sec,Bwd_Packets_Sec,Min_Packet_Length,Max_Packet_Length,Packet_Length_Mean,Packet_Length_Std,Packet_Length_Variance,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,CWE_Flag_Count,ECE_Flag_Count,Down_Up_Ratio,Average_Packet_Size,Avg_Fwd_Segment_Size,Avg_Bwd_Segment_Size,Fwd_Avg_Bytes_Bulk,Fwd_Avg_Packets_Bulk,Fwd_Avg_Bulk_Rate,Bwd_Avg_Bytes_Bulk,Bwd_Avg_Packets_Bulk,Bwd_Avg_Bulk_Rate,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label
55588,56,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,2.0,177136.0,56.0,0.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,17857.14286,17857.14286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5061.0,43440.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
53,187,2,2,78,206,39,39,39.0,0.0,103,103,103.0,0.0,62818.0,147268.0,62.33333333,101.9035492,180.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,64.0,64.0,10695.18717,10695.18717,39.0,103.0,64.6,35.05424368,1228.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.75,39.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,78.0,2.0,206.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80,28743227,5,1,367,0,168,0,73.4,86.647562,0,0,0.0,0.0,12.76822536,0.208744829,5748645.4,12739938.31,28538005.0,380.0,28741493.0,7185373.25,14235406.26,28538005.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,40.0,0.17395402399999998,0.034790805,0.0,168.0,52.42857143,79.29661015,6287.952381,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.16666667,73.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,367.0,1.0,0.0,-1.0,29200.0,4.0,0.0,205222.0,0.0,205222.0,205222.0,28538005.0,0.0,28538005.0,28538005.0,DoS slowloris
53,160,2,2,70,166,35,35,35.0,0.0,83,83,83.0,0.0,58737.0,155007.0,53.33333333,53.20087719,109.0,3.0,3.0,3.0,0.0,3.0,3.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,64.0,64.0,12500.0,12500.0,35.0,83.0,54.2,26.29068276,691.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,67.75,35.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,70.0,2.0,166.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80,1517,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1318.391562,1517.0,0.0,1517.0,1517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,659.1957811000002,659.1957811000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk
80,5610607,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,2.0,59169.0,1870202.333,3155716.359,5513681.0,57.0,5610607.0,2805303.5,3830224.193,5513681.0,96926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,40.0,0.5347015039999999,0.178233835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,29200.0,28960.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80,522229,6,1,320,0,320,0,53.33333333,130.6394529,0,0,0.0,0.0,612.7580046,13.40408135,87038.16667,133033.4884,304223.0,2.0,511434.0,102286.8,142753.2141,304223.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,40.0,11.48921259,1.914868764,0.0,320.0,40.0,113.137085,12800.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.71428571,53.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,320.0,1.0,0.0,-1.0,29200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk
80,8602,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,348.7561032,4301.0,827.314934,4886.0,3716.0,3716.0,3716.0,0.0,3716.0,3716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,232.5040688,116.2520344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk
53,91277,1,1,44,187,44,44,44.0,0.0,187,187,187.0,0.0,128336.0,146722.0,91277.0,0.0,91277.0,91277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,10.95566243,10.95566243,44.0,187.0,91.66666667,82.56108849,6816.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,137.5,44.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.0,1.0,187.0,-1.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
55365,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,190986.0,219948.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,666666.6667,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,34931.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
